dataset,noise_type,noise_rate,method,accuracy,macro_f1,macro_precision,macro_recall,total_time_sec,method_time_sec,train_time_sec,epochs_ran,n_train_input,n_train_selected
pendigits,shift,0.12,cleancore,0.9359634076615209,0.9363401340114368,0.9383274740368996,0.9363711554162707,2.713231395930052,2.691913891583681,1.9362475834786892,199.0,7494.0,749.0
pendigits,shift,0.12,gradmatch,0.9179531160663236,0.9176597405367707,0.9224708677290568,0.9189074516618614,1.5194509290158749,1.5003166310489178,1.1874488294124603,262.0,7494.0,256.0
pendigits,shift,0.12,deem,0.8782161234991424,0.8788965643665811,0.8888703163055791,0.8787375921229381,2.608853567391634,2.591102112084627,0.9525276087224483,54.0,7494.0,749.0
pendigits,shift,0.18,cleancore,0.9359634076615209,0.9361839534174973,0.9374405008200737,0.9362929647241044,2.9327717535197735,2.910871386528015,1.999603159725666,203.0,7494.0,749.0
pendigits,shift,0.18,gradmatch,0.9259576901086335,0.9258292464668747,0.9285732099309618,0.9268354598815929,1.4825421385467052,1.4567508362233639,1.1411950960755348,190.0,7494.0,256.0
pendigits,shift,0.18,deem,0.866781017724414,0.8664139224936511,0.8773110381971108,0.8665543541713827,2.3331677056849003,2.3147359751164913,0.7445525825023651,54.0,7494.0,749.0
pendigits,shift,0.24,cleancore,0.9210977701543739,0.9211121299221305,0.9226673440490863,0.9217256889424462,3.596395369619131,3.567254714667797,2.513096798211336,252.0,7494.0,749.0
pendigits,shift,0.24,gradmatch,0.8622069754145226,0.8608778343821107,0.8796399124959449,0.8650125084097269,1.2136262953281403,1.1902268081903458,0.9096873067319393,122.0,7494.0,256.0
pendigits,shift,0.24,deem,0.8530588907947398,0.8522937498096936,0.8672712891231263,0.8538050890764595,2.313479382544756,2.294941257685423,0.7162700667977333,54.0,7494.0,749.0
pendigits,shift,0.30,cleancore,0.8970840480274442,0.8978337409972431,0.9021822827884348,0.8987737562076095,4.224477406591177,4.202616021037102,3.0027416944503784,301.0,7494.0,749.0
pendigits,shift,0.30,gradmatch,0.8787878787878788,0.8791403051394318,0.8866822247275195,0.8801795050268592,1.7660802938044071,1.7473059967160225,1.3806258291006088,192.0,7494.0,256.0
pendigits,shift,0.30,deem,0.7955974842767296,0.7962693484073118,0.8047186905409747,0.7956227501580284,2.2636626586318016,2.2386432848870754,0.7472891844809055,54.0,7494.0,749.0
